,Unnamed: 0,artistName,trackName,msPlayed,artist_genres,Track Play Count
5094,22266,Boldy James,Great Adventures,2879,"['alternative hip hop', 'boom bap', 'drumless hip hop']",1.0
5137,22557,Disclosure,Magnets,12422,"['edm', 'house', 'indietronica', 'uk dance']",1.0
5127,22512,Baby-Hits Allstars,Fußball-Hymne Leverkusen: Bayer 04 - Wir stehen zu dir - Spieluhr Version,5824,[],1.0
5117,22424,YoungBoy Never Broke Again,F*** Ni**az,8874,"['baton rouge rap', 'rap']",1.0
3793,13882,Mac Miller,Insomniak (feat. Rick Ross),76068,"['hip hop', 'pittsburgh rap', 'rap']",1.0
5118,22428,Fred again..,leavemealone,85376,"['edm', 'house', 'stutter house']",1.0
3792,13876,Lana Del Rey,How to disappear,76509,"['art pop', 'pop']",1.0
5119,22434,Milky Chance,Stolen Dance,313626,"['german pop', 'modern rock']",1.0
5120,22448,M.I.A.,Boom Skit,1439,"['escape room', 'indietronica', 'neo-synthpop', 'new rave']",1.0
5121,22453,Mac Miller,Jet Fuel,304158,"['hip hop', 'pittsburgh rap', 'rap']",1.0
3789,13852,YoungBoy Never Broke Again,Carter Son,163930,"['baton rouge rap', 'rap']",1.0
5122,22463,Drake,Jungle,320400,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",1.0
5123,22464,Dreamville,Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),382306,"['hip hop', 'pop rap', 'rap']",1.0
5124,22496,6LACK,Pretty Little Fears (feat. J. Cole),240341,"['atl hip hop', 'melodic rap', 'r&b', 'rap', 'trap']",1.0
5125,22506,XXXTENTACION,Fuck Love,146520,"['emo rap', 'miami hip hop', 'rap']",1.0
4336,17464,Lil Wayne,Harden,31589,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",1.0
5129,22514,Naughty Boy,La La La,4373,['uk contemporary r&b'],1.0
5116,22419,Dominic Fike,Babydoll,62340,"['alternative pop rock', 'pov: indie']",1.0
3783,13833,Lana Del Rey,Young And Beautiful,136373,"['art pop', 'pop']",1.0
5130,22515,Kylie Minogue,Can't Get You out of My Head,0,"['australian dance', 'australian pop', 'dance pop', 'eurodance', 'new wave pop']",1.0
3781,13830,Lana Del Rey,Summertime The Gershwin Version,6501,"['art pop', 'pop']",1.0
3780,13818,The Rolling Stones,Sympathy For The Devil,210109,"['album rock', 'british invasion', 'classic rock', 'rock']",1.0
5131,22528,Elton John,Tiny Dancer,131239,"['glam rock', 'mellow gold', 'piano rock', 'rock']",1.0
4338,17578,French 79,Lovin' Feeling,43430,"['french indie pop', 'french indietronica']",1.0
3778,13732,Kendrick Lamar,Kush & Corinthians (feat. BJ The Chicago Kid),304668,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",1.0
5135,22552,M.I.A.,Paper Planes - Diplo Street Remix,1230,"['escape room', 'indietronica', 'neo-synthpop', 'new rave']",1.0
3777,13729,Kendrick Lamar,Chapter Ten,75535,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",1.0
3776,13726,Kendrick Lamar,Chapter Six,161137,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",1.0
3775,13725,Kendrick Lamar,Tammy's Song (Her Evils),161670,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",1.0
